fecha_programacion,distrito_nombre,producto,familia,familia_codigo,cliente,volumen_programado,canal
2026-09-09,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EL PROGRESO,10000.0,TRANSFERENCIAS
2026-09-08,Cobija,GLP CONSUMIDOR FINAL 10 KILOS,GLP,GLP,EL PROGRESO,3560.0,TRANSFERENCIAS
2026-09-08,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EL PROGRESO,23000.0,TRANSFERENCIAS
2026-09-08,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EL PROGRESO,10000.0,TRANSFERENCIAS
2026-09-07,Cobija,GLP CONSUMIDOR FINAL 10 KILOS,GLP,GLP,VENTAS DIRECTAS MOVILES COBIJA,2000.0,TRANSFERENCIAS
2026-09-07,Cobija,GLP CONSUMIDOR FINAL 10 KILOS,GLP,GLP,EL PROGRESO,4560.0,TRANSFERENCIAS
2026-09-07,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EL PROGRESO,15000.0,TRANSFERENCIAS
2026-09-07,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EL PROGRESO,10000.0,TRANSFERENCIAS
2026-09-05,Cobija,GLP CONSUMIDOR FINAL 10 KILOS,GLP,GLP,EL PROGRESO,4560.0,TRANSFERENCIAS
2026-09-05,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EL PROGRESO,30000.0,TRANSFERENCIAS
2026-09-05,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EL PROGRESO,20000.0,TRANSFERENCIAS
2026-09-04,Cobija,GLP CONSUMIDOR FINAL 10 KILOS,GLP,GLP,VENTAS DIRECTAS MOVILES COBIJA,2000.0,TRANSFERENCIAS
2026-09-04,Cobija,GLP CONSUMIDOR FINAL 10 KILOS,GLP,GLP,PUESTO DE VENTA PUERTO RICO YPFB,9000.0,TRANSFERENCIAS
2026-09-04,Cobija,GLP CONSUMIDOR FINAL 10 KILOS,GLP,GLP,EL PROGRESO,3560.0,TRANSFERENCIAS
2026-09-04,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EL PROGRESO,15000.0,TRANSFERENCIAS
2026-09-04,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EL PROGRESO,10000.0,TRANSFERENCIAS
2026-09-03,Cobija,GLP CONSUMIDOR FINAL 10 KILOS,GLP,GLP,VENTAS DIRECTAS MOVILES COBIJA,9000.0,TRANSFERENCIAS
2026-09-03,Cobija,GLP CONSUMIDOR FINAL 10 KILOS,GLP,GLP,EL PROGRESO,3560.0,TRANSFERENCIAS
2026-09-03,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EL PROGRESO,15000.0,TRANSFERENCIAS
2026-09-03,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EL PROGRESO,10000.0,TRANSFERENCIAS
2026-09-02,Cobija,GLP CONSUMIDOR FINAL 10 KILOS,GLP,GLP,EL PROGRESO,3560.0,TRANSFERENCIAS
2026-09-02,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,PUESTO DE VENTA PUERTO RICO YPFB,13000.0,TRANSFERENCIAS
2026-09-02,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EL PROGRESO,15000.0,TRANSFERENCIAS
2026-09-02,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,PUESTO DE VENTA PUERTO RICO YPFB,8000.0,TRANSFERENCIAS
2026-09-02,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EL PROGRESO,10000.0,TRANSFERENCIAS
2026-09-01,Cobija,GLP CONSUMIDOR FINAL 10 KILOS,GLP,GLP,EL PROGRESO,3560.0,TRANSFERENCIAS
2026-09-01,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EL PROGRESO,23000.0,TRANSFERENCIAS
2026-09-01,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EL PROGRESO,10000.0,TRANSFERENCIAS
2026-09-18,Cobija,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DISTRIBUIDORA DE GLP SOGAMI-GAS,8000.0,VENTAS
2026-09-18,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,LUCIO VILLCA CONDORI,18000.0,VENTAS
2026-09-18,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EºSº TISTY,18000.0,VENTAS
2026-09-18,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,LUCIO VILLCA CONDORI,10000.0,VENTAS
2026-09-18,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EºSº TISTY,10000.0,VENTAS
2026-09-18,Cobija,GLP CONSUMIDOR FINAL 10 KILOS,GLP,GLP,EL PROGRESO,3560.0,TRANSFERENCIAS
2026-09-18,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO COBIJA,15000.0,TRANSFERENCIAS
2026-09-18,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EL PROGRESO,15000.0,TRANSFERENCIAS
2026-09-18,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO COBIJA,20000.0,TRANSFERENCIAS
2026-09-18,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EL PROGRESO,10000.0,TRANSFERENCIAS
2026-09-19,Cobija,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DISTRIBUIDORA DE GLP SOGAMI-GAS,5500.0,VENTAS
2026-09-19,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,LUCIO VILLCA CONDORI,36000.0,VENTAS
2026-09-19,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EºSº TISTY,36000.0,VENTAS
2026-09-19,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,LUCIO VILLCA CONDORI,20000.0,VENTAS
